index,month,movie_theater,popcorn,soft_drink,sweets,water
119,10,2,5,0,0,5
120,04,9,4,4,4,0
121,07,5,2,0,0,2
122,03,5,3,0,0,3
123,01,7,5,5,5,0
124,09,4,2,2,2,0
125,05,9,1,1,0,0
126,05,6,1,1,0,0
127,12,3,3,2,2,1
128,08,4,3,3,3,0
129,06,6,3,1,1,2
130,10,6,1,1,0,0
131,08,4,2,2,2,0
132,11,9,4,3,3,1
133,10,2,1,1,1,0
134,05,4,3,3,3,0
135,07,6,2,2,0,0
136,08,7,4,4,3,0
137,04,1,2,0,0,2
138,09,7,5,5,5,0
139,10,4,3,3,3,0
140,06,9,3,2,2,1
141,09,8,1,0,0,1
142,12,6,2,2,1,0
143,05,4,2,2,1,0
144,01,1,1,0,0,1
145,12,2,4,4,4,0
146,03,4,5,5,5,0
147,01,4,4,4,3,0
148,07,4,5,5,5,0
149,01,9,4,4,4,0
150,03,5,3,0,0,3
151,05,2,5,5,3,0
152,06,9,5,5,5,0
153,03,1,3,0,0,3
154,01,4,4,4,4,0
155,01,6,1,1,0,0
156,12,2,1,0,0,1
157,03,6,4,4,3,0
158,01,6,3,3,1,0
159,12,9,5,5,5,0
160,09,4,5,5,5,0
161,01,6,1,1,0,0
162,05,4,3,0,0,3
163,12,8,2,0,0,2
164,03,1,1,0,0,1
165,01,8,1,0,0,1
166,08,7,4,4,3,0
167,04,1,3,3,3,0
168,03,1,1,0,0,1
169,08,6,5,5,0,0
170,05,7,4,4,4,0
171,10,2,2,2,1,0
172,12,2,3,0,0,3
173,12,8,2,0,0,2
174,04,4,3,0,0,3
175,10,2,2,2,2,0
176,12,4,4,4,4,0
177,08,2,4,3,3,1
178,03,7,4,3,3,1
179,03,9,3,1,0,2
180,06,6,1,1,1,0
181,12,6,1,1,0,0
182,10,4,4,3,3,1
183,11,2,2,2,1,0
184,02,9,5,5,4,0
185,06,6,2,2,0,0
186,04,4,4,4,4,0
187,11,7,5,4,4,1
188,08,6,5,0,0,5
189,07,2,1,1,0,0
190,05,3,2,2,1,0
191,08,6,5,5,5,0
192,06,3,3,0,0,3
193,09,1,3,1,1,2
194,08,6,2,2,0,0
195,07,6,1,1,0,0
196,08,1,5,4,1,1
197,01,8,5,0,0,5
198,09,6,1,1,0,0
199,02,6,1,1,1,0
200,11,2,2,2,0,0
201,06,5,1,0,0,1
202,08,2,2,2,0,0
203,01,7,3,3,3,0
204,10,7,4,4,4,0
205,05,8,2,1,1,1
206,08,9,5,4,4,1
207,05,6,5,5,0,0
208,10,8,1,0,0,1
209,08,6,2,0,0,2
210,08,5,2,2,1,0
211,11,5,1,0,0,1
212,07,4,3,3,3,0
213,04,6,1,0,0,1
214,08,6,1,1,1,0
215,11,2,2,2,0,0
216,10,3,1,1,1,0
217,05,6,2,2,1,0
218,10,6,1,1,0,0
219,11,6,5,5,2,0
220,12,3,1,0,0,1
221,04,7,3,3,3,0
222,03,6,1,1,0,0
223,07,8,3,3,3,0
224,03,4,5,5,4,0
225,08,3,3,1,0,2
226,07,9,3,3,3,0
227,01,9,4,4,4,0
228,04,9,3,3,3,0
229,03,7,3,0,0,3
230,02,4,2,2,2,0
231,04,6,1,1,0,0
232,06,9,5,5,5,0
233,04,4,5,5,5,0
234,12,3,1,0,0,1
235,08,7,3,1,0,2
236,04,9,4,4,3,0
237,05,3,3,0,0,3
238,12,8,4,4,4,0
239,11,1,3,0,0,3
240,11,3,4,2,1,2
241,06,3,1,0,0,1
242,11,4,3,3,3,0
243,09,5,2,0,0,2
244,01,4,3,1,0,2
245,02,4,5,5,5,0
246,04,4,3,3,3,0
247,02,1,2,0,0,2
248,08,3,1,0,0,1
249,12,7,4,3,2,1
250,12,2,5,5,1,0
251,02,6,1,1,1,0
252,12,5,1,0,0,1
253,02,2,1,1,0,0
254,09,4,4,4,3,0
255,09,5,2,1,0,1
256,12,2,1,1,0,0
257,06,4,3,3,3,0
258,11,5,1,0,0,1
259,03,5,1,1,1,0
260,06,9,1,0,0,1
261,10,4,3,3,3,0
262,05,4,3,2,2,1
263,05,2,2,1,0,1
264,09,6,1,1,0,0
265,10,1,3,3,0,0
266,09,8,1,1,0,0
267,10,2,4,4,0,0
268,04,7,5,5,5,0
269,08,6,1,1,0,0
270,12,6,2,2,2,0
271,06,1,2,0,0,2
272,08,5,1,0,0,1
273,08,4,1,1,0,0
274,10,9,2,2,2,0
275,09,7,3,3,3,0
276,11,6,1,1,0,0
277,01,5,2,0,0,2
278,04,2,4,3,0,1
279,09,8,3,3,3,0
280,08,6,5,5,5,0
281,11,8,2,2,1,0
282,03,2,2,2,1,0
283,01,8,3,0,0,3
284,05,6,2,2,0,0
285,05,6,2,0,0,2
286,03,2,2,2,1,0
287,03,8,3,0,0,3
288,09,2,2,2,1,0
289,08,7,4,4,3,0
290,08,6,1,1,0,0
291,12,6,1,1,0,0
292,11,7,5,4,4,1
293,06,1,3,2,2,1
294,05,8,2,1,0,1
295,09,6,2,2,0,0
296,12,4,4,3,3,1
297,12,2,2,2,0,0
298,01,6,2,2,1,0
299,06,6,1,1,0,0
300,10,1,1,0,0,1
301,01,3,2,0,0,2
302,12,3,2,2,2,0
303,06,8,2,2,0,0
304,08,8,4,4,3,0
305,02,3,1,0,0,1
306,02,1,3,1,0,2
307,03,4,4,4,4,0
308,10,4,3,3,3,0
309,09,9,3,3,3,0
310,04,1,3,1,0,2
311,05,9,3,3,3,0
312,06,5,1,0,0,1
313,05,1,5,5,4,0
314,05,4,4,4,4,0
315,09,8,1,0,0,1
316,09,5,4,0,0,4
317,01,7,5,4,4,1
318,04,7,3,3,3,0
319,12,7,2,2,1,0
320,08,9,4,4,4,0
321,09,6,2,2,0,0
322,01,2,4,4,1,0
323,07,4,2,2,0,0
324,01,6,1,1,0,0
325,07,2,2,2,0,0
326,06,9,3,3,3,0
327,03,7,5,4,4,1
328,12,8,3,1,0,2
329,01,9,2,2,0,0
330,05,4,3,3,3,0
331,06,6,2,2,1,0
332,04,6,1,1,1,0
333,04,6,3,2,0,1
334,10,2,2,2,0,0
335,01,7,1,0,0,1
336,04,8,1,0,0,1
337,01,3,4,4,4,0
338,04,8,2,1,1,1
339,06,9,4,3,3,1
340,07,7,5,5,5,0
341,04,9,2,2,2,0
342,05,7,3,3,3,0
343,01,4,2,0,0,2
344,06,2,1,1,0,0
345,09,5,1,0,0,1
346,12,1,1,0,0,1
347,11,9,1,1,1,0
348,05,8,3,1,0,2
349,03,4,4,4,3,0
350,09,2,2,2,0,0
351,01,3,4,4,4,0
352,01,6,1,1,0,0
353,01,2,2,0,0,2
354,05,7,5,5,5,0
355,10,2,1,1,0,0
356,11,9,3,3,3,0
357,01,7,2,2,2,0
358,03,2,2,2,1,0
359,12,9,4,4,4,0
360,07,7,1,0,0,1
361,02,6,2,2,0,0
362,03,4,2,2,2,0
363,08,3,2,2,0,0
364,06,4,2,2,0,0
365,07,7,5,5,3,0
366,02,7,2,1,1,1
367,09,7,4,4,4,0
368,07,9,4,4,3,0
369,04,6,2,2,0,0
370,06,4,3,3,3,0
371,08,6,2,1,0,1
372,06,9,3,3,3,0
373,09,2,3,3,0,0
374,12,5,1,0,0,1
375,05,2,1,1,0,0
376,04,2,2,0,0,2
377,12,5,3,0,0,3
378,11,4,1,1,1,0
379,09,5,1,0,0,1
380,10,3,3,0,0,3
381,07,7,3,3,2,0
382,10,2,2,2,2,0
383,02,6,2,2,1,0
384,12,3,1,0,0,1
385,11,6,1,1,0,0
386,02,2,1,1,0,0
387,02,6,1,1,0,0
388,03,2,2,2,1,0
389,02,5,1,0,0,1
390,10,3,4,0,0,4
391,03,4,5,5,5,0
392,08,2,2,2,1,0
393,04,6,3,0,0,3
394,01,9,3,3,3,0
395,11,1,1,1,0,0
396,02,6,2,2,0,0
397,10,9,5,5,3,0
398,11,2,5,5,2,0
399,10,5,4,4,4,0
400,09,1,3,0,0,3
401,02,9,5,4,4,1
402,07,2,1,1,1,0
403,02,7,4,3,3,1
404,01,6,2,2,1,0
405,07,9,3,3,3,0
406,03,2,5,0,0,5
407,01,6,1,1,1,0
408,09,6,1,1,0,0
409,10,3,2,1,0,1
410,02,9,2,2,2,0
411,09,2,2,2,0,0
412,09,1,2,0,0,2
413,12,5,5,0,0,5
414,11,1,5,5,3,0
415,09,6,2,2,0,0
416,03,4,3,0,0,3
417,04,5,1,1,1,0
418,08,3,3,0,0,3
419,07,4,4,4,3,0
420,09,7,2,2,2,0
421,02,5,3,1,0,2
422,12,8,1,0,0,1
423,01,7,1,1,0,0
424,04,6,1,1,0,0
425,09,6,1,1,0,0
426,02,7,5,3,3,2
427,01,2,1,0,0,1
428,09,6,1,1,0,0
429,11,8,4,4,4,0
430,07,2,3,2,2,1
431,09,2,2,1,1,1
432,02,2,1,1,0,0
433,12,8,2,1,0,1
434,12,2,2,2,1,0
435,10,7,4,4,4,0
436,05,2,4,4,4,0
437,09,4,4,4,4,0
438,11,2,2,2,0,0
439,02,5,1,0,0,1
440,05,9,1,1,0,0
441,04,9,5,5,4,0
442,10,6,1,1,0,0
443,02,2,2,2,0,0
444,04,7,5,5,5,0
445,07,6,5,5,1,0
446,07,1,2,2,0,0
447,03,1,5,1,0,4
448,11,5,2,0,0,2
449,08,7,4,4,3,0
450,05,6,1,1,0,0
451,11,3,2,0,0,2
452,11,7,1,1,1,0
453,03,9,4,4,4,0
454,03,6,5,0,0,5
455,03,2,1,1,0,0
456,04,6,3,3,3,0
457,06,2,1,1,0,0
458,05,9,3,3,3,0
459,11,7,4,4,3,0
460,03,6,1,1,0,0
461,08,2,1,1,1,0
462,01,2,1,1,0,0
463,06,2,1,1,1,0
464,12,2,1,1,1,0
465,02,2,1,1,1,0
466,08,5,5,5,5,0
467,01,9,3,3,3,0
468,05,6,3,3,0,0
469,12,9,1,1,0,0
470,02,1,1,1,0,0
471,04,2,4,4,0,0
472,02,9,4,4,2,0
473,11,2,4,3,3,1
474,07,1,1,0,0,1
475,12,8,3,3,3,0
476,04,1,2,0,0,2
477,05,2,2,2,0,0
478,12,6,1,1,0,0
479,07,6,5,5,3,0
480,10,6,1,1,1,0
481,03,7,4,4,3,0
482,03,5,2,0,0,2
483,04,6,4,4,0,0
484,08,2,1,1,0,0
485,04,1,3,0,0,3
486,06,6,5,5,2,0
487,03,9,2,2,2,0
488,08,6,2,2,1,0
489,11,8,2,2,0,0
490,08,1,2,1,1,1
491,08,5,3,1,0,2
492,12,6,1,1,0,0
493,07,1,3,1,0,2
494,03,3,1,1,0,0
495,04,9,1,0,0,1
496,10,5,2,0,0,2
497,10,8,4,1,1,3
498,01,6,2,2,0,0
499,10,2,1,1,0,0
500,12,1,2,0,0,2
501,01,6,1,1,0,0
502,01,7,3,3,3,0
503,04,7,1,1,0,0
504,12,4,4,4,4,0
505,10,8,4,4,2,0
506,06,7,3,3,3,0
507,12,5,3,0,0,3
508,03,8,2,0,0,2
509,02,8,3,0,0,3
510,04,1,2,0,0,2
511,08,3,1,0,0,1
512,08,7,2,2,2,0
513,02,1,2,1,1,1
514,04,2,2,2,0,0
515,04,2,5,5,0,0
516,11,1,2,0,0,2
517,12,1,3,1,1,2
518,01,6,1,1,1,0
519,02,9,5,5,5,0
520,08,9,1,1,1,0
521,05,7,1,1,1,0
522,04,9,3,3,2,0
523,06,4,4,0,0,4
524,08,2,4,4,0,0
525,04,1,3,3,3,0
526,06,9,3,1,1,2
527,04,9,4,2,2,2
528,03,6,1,1,0,0
529,10,9,4,4,4,0
530,06,6,2,2,1,0
531,09,4,3,3,3,0
532,09,2,1,1,0,0
533,01,2,1,1,0,0
534,06,6,2,2,0,0
535,06,2,4,4,1,0
536,12,5,1,0,0,1
537,07,8,2,0,0,2
538,08,2,2,2,1,0
539,08,8,1,1,0,0
540,08,4,2,0,0,2
541,09,7,5,5,4,0
542,05,5,1,0,0,1
543,01,1,1,0,0,1
544,07,2,1,1,0,0
545,03,2,2,2,0,0
546,11,4,3,3,1,0
547,04,5,4,0,0,4
548,03,1,1,0,0,1
549,08,3,1,1,0,0
550,01,6,5,5,3,0
551,08,3,1,1,1,0
552,01,1,2,2,2,0
553,02,7,5,4,4,1
554,10,6,2,2,0,0
555,12,6,1,1,0,0
556,02,8,1,0,0,1
557,02,7,2,2,2,0
558,02,3,1,1,0,0
559,12,4,5,5,5,0
560,10,6,2,2,0,0
561,12,6,1,1,1,0
562,09,4,5,5,5,0
563,01,3,1,0,0,1
564,02,8,1,1,0,0
565,11,5,2,0,0,2
566,12,6,2,2,0,0
567,05,7,4,4,4,0
568,12,2,2,1,1,1
569,06,2,1,0,0,1
570,01,6,3,3,1,0
571,07,4,2,2,2,0
572,03,2,2,1,1,1
573,08,6,2,2,0,0
574,09,6,4,4,1,0
575,09,3,2,0,0,2
576,11,8,2,0,0,2
577,10,4,2,2,1,0
578,05,4,4,4,4,0
579,09,1,1,0,0,1
580,01,3,2,0,0,2
581,10,1,3,1,0,2
582,12,3,1,0,0,1
583,12,6,1,0,0,1
584,08,3,3,0,0,3
585,02,7,2,2,2,0
586,03,7,5,4,3,1
587,12,9,3,3,3,0
588,01,5,3,1,0,2
589,08,1,3,2,2,1
590,10,2,2,2,1,0
591,01,3,3,0,0,3
592,08,9,1,1,1,0
593,04,9,3,1,1,2
594,05,6,2,2,0,0
595,12,3,4,4,4,0
596,07,7,2,0,0,2
597,06,5,2,2,1,0
598,12,6,3,3,0,0
599,08,6,2,2,0,0
600,07,3,3,0,0,3
601,10,6,1,1,0,0
602,03,7,5,5,5,0
603,05,8,3,0,0,3
604,08,9,4,4,4,0
605,07,2,1,0,0,1
606,03,2,1,1,1,0
607,11,9,4,4,4,0
608,01,3,2,0,0,2
609,03,8,3,3,3,0
610,11,1,1,1,0,0
611,01,5,2,2,2,0
612,05,5,2,1,1,1
613,08,1,1,0,0,1
614,04,6,1,1,0,0
615,06,6,1,1,0,0
616,05,6,2,0,0,2
617,12,5,2,2,1,0
618,02,7,1,1,0,0
619,12,6,2,2,0,0
620,06,5,2,0,0,2
621,05,2,1,1,1,0
622,02,9,2,2,2,0
623,04,6,2,2,1,0
624,01,4,2,2,1,0
625,02,4,5,4,4,1
626,08,4,1,0,0,1
627,12,2,2,2,0,0
628,12,9,2,2,0,0
629,05,6,2,0,0,2
630,05,2,3,3,0,0
631,12,7,4,4,2,0
632,09,5,3,1,1,2
633,06,3,1,0,0,1
634,03,4,5,5,5,0
635,07,4,1,1,0,0
636,06,2,2,2,1,0
637,07,9,4,4,4,0
638,12,2,5,4,0,1
639,10,5,2,0,0,2
640,06,7,4,4,4,0
641,04,4,4,4,4,0
642,07,2,2,2,0,0
643,01,7,3,3,3,0
644,03,2,4,4,2,0
645,02,9,4,4,4,0
646,05,4,5,5,5,0
647,10,8,3,3,1,0
648,05,2,2,2,1,0
649,07,2,2,2,1,0
650,08,7,4,4,4,0
651,01,9,4,4,4,0
652,04,9,3,2,1,1
653,02,6,2,2,0,0
654,09,7,2,0,0,2
655,08,6,1,1,0,0
656,05,4,4,4,4,0
657,08,6,1,1,0,0
658,03,3,2,1,0,1
659,06,9,3,0,0,3
660,07,3,2,0,0,2
661,06,2,1,1,0,0
662,11,6,5,5,0,0
663,11,7,4,3,3,1
664,12,3,4,1,0,3
665,07,4,4,4,4,0
666,11,9,4,4,3,0
667,09,1,4,0,0,4
668,04,3,3,0,0,3
669,11,9,5,5,5,0
670,12,4,5,4,4,1
671,03,3,1,0,0,1
672,08,9,2,2,2,0
673,08,5,1,0,0,1
674,01,2,1,1,0,0
675,07,1,3,0,0,3
676,09,5,4,1,0,3
677,02,2,1,1,1,0
678,12,7,1,1,1,0
679,12,9,4,4,4,0
680,06,8,3,3,3,0
681,08,5,1,0,0,1
682,01,6,1,1,0,0
683,10,6,4,4,4,0
684,07,1,4,1,0,3
685,04,2,3,3,0,0
686,10,6,5,5,1,0
687,12,3,1,0,0,1
688,04,8,1,0,0,1
689,03,5,3,0,0,3
690,02,8,2,0,0,2
691,04,2,1,1,0,0
692,11,3,3,0,0,3
693,02,2,1,1,0,0
694,12,9,4,3,3,1
695,05,6,2,2,0,0
696,11,8,2,0,0,2
697,11,2,2,2,0,0
698,04,6,1,1,0,0
699,01,9,4,3,3,1
700,01,2,2,2,0,0
701,11,4,4,4,4,0
702,05,2,1,1,1,0
703,01,9,1,1,0,0
704,04,3,4,1,0,3
705,08,9,4,3,3,1
706,05,4,4,4,4,0
707,10,1,1,1,0,0
708,08,9,3,3,1,0
709,04,8,3,0,0,3
710,05,7,2,1,0,1
711,12,5,1,0,0,1
712,11,4,4,3,3,1
713,04,9,4,3,3,1
714,04,3,4,0,0,4
715,02,9,4,4,4,0
716,03,2,1,1,0,0
717,01,6,2,2,1,0
718,07,6,4,4,0,0
719,10,7,1,0,0,1
720,12,5,2,2,2,0
721,12,9,4,4,4,0
722,08,7,3,2,2,1
723,04,3,1,0,0,1
724,07,9,2,0,0,2
725,12,8,5,5,0,0
726,06,2,2,2,0,0
727,01,7,3,3,3,0
728,07,2,2,2,1,0
729,03,2,2,2,1,0
730,03,2,1,1,1,0
731,09,5,2,2,2,0
732,04,6,4,4,0,0
733,06,7,4,4,4,0
734,09,4,4,4,3,0
735,03,6,2,2,0,0
736,10,7,2,0,0,2
737,11,8,2,0,0,2
738,10,2,5,4,2,1
739,03,6,4,4,0,0
740,10,7,4,3,3,1
741,11,1,4,4,4,0
742,03,3,3,1,0,2
743,11,5,3,1,0,2
744,01,3,1,0,0,1
745,05,4,5,5,5,0
746,06,4,5,5,5,0
747,02,6,4,4,3,0
748,02,8,3,0,0,3
749,03,2,2,2,1,0
750,06,5,2,0,0,2
751,12,4,2,2,2,0
752,07,2,2,0,0,2
753,02,6,1,1,0,0
754,03,8,3,0,0,3
755,01,6,1,1,0,0
756,05,6,1,1,0,0
757,09,9,1,0,0,1
758,10,6,1,0,0,1
759,02,6,1,1,1,0
760,03,7,4,3,2,1
761,02,6,1,1,0,0
762,06,4,1,1,0,0
763,12,7,2,0,0,2
764,09,6,1,1,0,0
765,10,1,1,1,0,0
766,12,2,4,4,1,0
767,09,4,3,3,2,0
768,06,8,3,0,0,3
769,07,9,3,3,3,0
770,05,2,1,0,0,1
771,08,6,1,1,1,0
772,06,3,2,0,0,2
773,05,6,3,3,3,0
774,03,2,2,2,0,0
775,03,8,3,0,0,3
776,01,7,3,2,2,1
777,11,5,5,4,0,1
778,08,7,4,4,4,0
779,10,1,2,1,0,1
780,09,7,1,1,1,0
781,09,1,3,1,0,2
782,02,8,1,0,0,1
783,10,2,2,2,1,0
784,11,1,3,0,0,3
785,05,7,1,0,0,1
786,07,1,2,0,0,2
787,05,2,5,5,3,0
788,01,6,1,1,0,0
789,08,2,1,1,1,0
790,04,4,4,4,4,0
791,03,9,5,5,5,0
792,02,7,2,2,1,0
793,09,8,4,4,4,0
794,12,7,4,4,4,0
795,02,8,1,0,0,1
796,05,7,4,3,3,1
797,05,2,1,1,0,0
798,11,1,1,0,0,1
799,01,9,4,4,4,0
800,07,9,4,4,4,0
801,08,5,2,0,0,2
802,07,2,1,1,0,0
803,06,5,2,2,1,0
804,03,8,2,2,1,0
805,01,1,4,4,0,0
806,08,4,5,4,4,1
807,07,3,3,1,0,2
808,12,5,3,1,0,2
809,02,6,5,5,0,0
810,08,5,2,2,1,0
811,04,6,1,1,0,0
812,11,7,2,2,0,0
813,07,8,3,0,0,3
814,01,1,4,4,4,0
815,04,1,2,0,0,2
816,02,9,2,2,0,0
817,06,2,5,5,1,0
818,11,2,2,1,0,1
819,07,7,4,4,4,0
820,05,9,4,4,4,0
821,02,7,3,3,2,0
822,01,8,3,0,0,3
823,05,1,1,1,1,0
824,11,7,5,4,4,1
825,06,4,4,4,4,0
826,09,2,1,1,1,0
827,11,1,3,1,1,2
828,01,8,3,0,0,3
829,11,1,1,0,0,1
830,08,6,3,1,1,2
831,09,7,5,5,5,0
832,01,9,5,4,4,1
833,02,4,2,0,0,2
834,03,1,5,4,4,1
835,09,5,2,0,0,2
836,07,6,2,2,0,0
837,01,8,4,4,3,0
838,03,4,4,4,4,0
839,10,4,3,3,1,0
840,07,1,2,0,0,2
841,07,3,3,0,0,3
842,05,8,3,1,0,2
843,05,6,3,2,1,1
844,04,5,1,0,0,1
845,02,4,4,4,3,0
846,09,5,1,0,0,1
847,10,1,1,1,0,0
848,05,9,2,0,0,2
849,07,2,2,2,0,0
850,04,3,3,0,0,3
851,12,7,2,1,1,1
852,03,9,1,1,0,0
853,01,5,2,0,0,2
854,06,8,2,0,0,2
855,08,6,1,1,0,0
856,07,2,1,1,0,0
857,05,5,2,0,0,2
858,07,2,3,3,1,0
859,07,1,5,0,0,5
860,05,6,4,4,4,0
861,11,9,4,4,4,0
862,10,8,1,0,0,1
863,02,2,1,1,0,0
864,05,5,4,4,4,0
865,12,7,1,0,0,1
866,03,2,4,4,4,0
867,10,8,1,1,0,0
868,05,7,2,2,2,0
869,04,4,5,5,5,0
870,10,4,2,2,2,0
871,02,5,1,1,0,0
872,12,3,1,0,0,1
873,01,1,4,3,3,1
874,12,1,3,2,2,1
875,03,4,3,2,2,1
876,12,2,4,4,0,0
877,08,6,1,1,0,0
878,08,3,3,0,0,3
879,08,1,3,1,0,2
880,01,7,3,3,3,0
881,05,3,3,0,0,3
882,03,9,4,4,4,0
883,05,2,1,1,0,0
884,03,9,2,2,2,0
885,01,2,4,4,4,0
886,06,2,5,5,1,0
887,10,4,5,5,5,0
888,06,1,2,1,0,1
889,03,2,3,3,1,0
890,07,8,2,2,2,0
891,02,9,4,4,4,0
892,05,5,3,2,1,1
893,04,2,2,2,0,0
894,01,4,1,1,1,0
895,11,8,3,0,0,3
896,07,3,4,4,4,0
897,07,7,4,4,4,0
898,02,2,1,1,0,0
899,09,2,4,4,2,0
900,01,8,3,0,0,3
901,08,5,1,0,0,1
902,08,7,4,4,4,0
903,04,9,4,4,3,0
904,05,6,2,1,0,1
905,01,1,1,0,0,1
906,03,6,1,1,1,0
907,08,2,1,1,0,0
908,03,6,2,2,1,0
909,08,7,2,2,2,0
910,09,9,3,0,0,3
911,04,1,2,0,0,2
912,09,9,3,2,2,1
913,03,4,1,0,0,1
914,01,6,1,1,0,0
915,11,7,3,3,3,0
916,08,6,1,1,0,0
917,06,4,2,2,2,0
918,01,2,2,2,1,0
919,02,6,1,1,1,0
920,07,6,1,1,0,0
921,12,3,1,1,0,0
922,10,2,5,5,1,0
923,07,6,2,2,1,0
924,01,6,2,1,1,1
925,09,7,4,4,4,0
926,09,1,3,0,0,3
927,08,2,2,2,0,0
928,02,2,1,1,1,0
929,05,4,3,3,3,0
930,11,7,3,3,2,0
931,03,7,2,2,2,0
932,12,4,4,4,4,0
933,06,1,2,0,0,2
934,09,2,3,3,0,0
935,08,2,1,1,0,0
936,12,2,4,4,4,0
937,06,7,4,4,4,0
938,02,9,5,4,4,1
939,04,2,2,2,0,0
940,09,9,4,3,3,1
941,04,4,1,1,1,0
942,03,8,2,0,0,2
943,08,3,3,0,0,3
944,03,2,1,1,0,0
945,08,5,4,4,4,0
946,10,5,1,0,0,1
947,03,9,4,4,4,0
948,02,3,1,0,0,1
949,06,8,2,2,2,0
950,10,7,4,4,4,0
951,04,6,1,1,0,0
952,10,5,4,3,3,1
953,07,5,2,2,2,0
954,12,2,2,2,0,0
955,06,2,1,1,1,0
956,07,8,3,1,1,2
957,10,1,3,1,1,2
958,10,7,5,5,4,0
959,09,9,4,4,4,0
960,03,6,1,1,0,0
961,10,6,1,1,0,0
962,05,7,2,2,2,0
963,04,8,1,1,0,0
964,11,2,2,2,0,0
965,09,2,2,2,0,0
966,06,4,2,0,0,2
967,06,3,1,0,0,1
968,06,6,5,5,0,0
969,12,5,3,0,0,3
970,11,4,3,3,3,0
971,11,7,1,1,1,0
972,02,6,3,3,0,0
973,09,6,1,1,0,0
974,09,3,1,1,0,0
975,10,6,4,4,0,0
976,09,7,2,2,2,0
977,09,6,2,2,0,0
978,01,1,3,0,0,3
979,05,6,2,2,0,0
980,02,9,3,3,2,0
981,03,3,2,1,0,1
982,11,8,2,0,0,2
983,04,4,5,5,5,0
984,04,1,3,0,0,3
985,03,9,4,4,3,0
986,07,6,2,2,0,0
987,03,8,1,1,0,0
988,09,6,2,2,1,0
989,04,1,2,0,0,2
990,02,5,3,0,0,3
991,06,5,2,1,1,1
992,03,2,1,1,0,0
993,11,7,4,4,4,0
994,02,5,1,0,0,1
995,01,6,1,1,0,0
